cell_line,agent,concentration,parameter,rate,obj_func
HCC70,BSJ-01-175,0.316228,$k_{S}$,0.007497266781269867,111898.18643798014
HCC70,BSJ-01-175,0.316228,$k_{G2}$,0.0065775020038159855,111898.18643798014
HCC70,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.019593196592407307,111898.18643798014
HCC70,BSJ-01-175,0.316228,$k_{\phi}$,1e-07,111898.18643798014
HCC70,BSJ-01-175,0.316228,$k_{S}$,0.001311814061558421,254923.97982517345
HCC70,BSJ-01-175,0.316228,$k_{G2}$,0.015032134600084724,254923.97982517345
HCC70,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.007103743130808377,254923.97982517345
HCC70,BSJ-01-175,0.316228,$k_{\phi}$,1e-07,254923.97982517345
HCC70,BSJ-01-175,0.316228,$k_{S}$,0.0012907296701799474,287515.73521441384
HCC70,BSJ-01-175,0.316228,$k_{G2}$,0.014602692758754785,287515.73521441384
HCC70,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.006913553824645893,287515.73521441384
HCC70,BSJ-01-175,0.316228,$k_{\phi}$,1e-07,287515.73521441384
HCC70,BSJ-01-175,1.0,$k_{S}$,0.001583379562097205,387527.9939483162
HCC70,BSJ-01-175,1.0,$k_{G2}$,0.014125372197756014,387527.9939483162
HCC70,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.017221348241643546,387527.9939483162
HCC70,BSJ-01-175,1.0,$k_{\phi}$,1e-07,387527.9939483162
HCC70,BSJ-01-175,1.0,$k_{S}$,0.004490913190229213,363955.49430370517
HCC70,BSJ-01-175,1.0,$k_{G2}$,0.015059974676344984,363955.49430370517
HCC70,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.015134573069533603,363955.49430370517
HCC70,BSJ-01-175,1.0,$k_{\phi}$,1e-07,363955.49430370517
HCC70,BSJ-01-175,1.0,$k_{S}$,0.0035537335180386995,388642.27982063725
HCC70,BSJ-01-175,1.0,$k_{G2}$,0.017088886633343448,388642.27982063725
HCC70,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.01209875983595757,388642.27982063725
HCC70,BSJ-01-175,1.0,$k_{\phi}$,1e-07,388642.27982063725
HCC70,BSJ-01-175,0.003162,$k_{S}$,0.04430490456859304,3.031107631958494e-09
HCC70,BSJ-01-175,0.003162,$k_{G2}$,0.030611552144481028,3.031107631958494e-09
HCC70,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.10994297252500568,3.031107631958494e-09
HCC70,BSJ-01-175,0.003162,$k_{\phi}$,0.5224579994321652,3.031107631958494e-09
HCC70,BSJ-01-175,0.003162,$k_{S}$,0.04068870684913426,1.06644089621769e-09
HCC70,BSJ-01-175,0.003162,$k_{G2}$,0.027271867980778488,1.06644089621769e-09
HCC70,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.09961958925711091,1.06644089621769e-09
HCC70,BSJ-01-175,0.003162,$k_{\phi}$,0.6219929805277125,1.06644089621769e-09
HCC70,BSJ-01-175,0.003162,$k_{S}$,0.04481196780559175,1.6096045996997253e-09
HCC70,BSJ-01-175,0.003162,$k_{G2}$,0.028534687999176977,1.6096045996997253e-09
HCC70,BSJ-01-175,0.003162,$k_{M}$$k_{G1}$,0.08991859945681506,1.6096045996997253e-09
HCC70,BSJ-01-175,0.003162,$k_{\phi}$,0.4529236417847235,1.6096045996997253e-09
HCC70,BSJ-01-175,0.1,$k_{S}$,0.00025988253814328543,90852.586059285
HCC70,BSJ-01-175,0.1,$k_{G2}$,0.007775603362957511,90852.586059285
HCC70,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.002702313259753259,90852.586059285
HCC70,BSJ-01-175,0.1,$k_{\phi}$,1e-07,90852.586059285
HCC70,BSJ-01-175,0.1,$k_{S}$,0.012390050092373648,2.47711436091405e-09
HCC70,BSJ-01-175,0.1,$k_{G2}$,0.008350238028260761,2.47711436091405e-09
HCC70,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.017593972697843616,2.47711436091405e-09
HCC70,BSJ-01-175,0.1,$k_{\phi}$,0.13876816340375608,2.47711436091405e-09
HCC70,BSJ-01-175,0.1,$k_{S}$,0.0049763757354344155,166710.43957994482
HCC70,BSJ-01-175,0.1,$k_{G2}$,0.006749024976719058,166710.43957994482
HCC70,BSJ-01-175,0.1,$k_{M}$$k_{G1}$,0.010192710585506873,166710.43957994482
HCC70,BSJ-01-175,0.1,$k_{\phi}$,1e-07,166710.43957994482
HCC70,BSJ-01-175,0.001,$k_{S}$,0.038031175117685306,1.8227374838197693e-09
HCC70,BSJ-01-175,0.001,$k_{G2}$,0.02588675148298344,1.8227374838197693e-09
HCC70,BSJ-01-175,0.001,$k_{M}$$k_{G1}$,0.09419911494872113,1.8227374838197693e-09
HCC70,BSJ-01-175,0.001,$k_{\phi}$,0.4760041836068305,1.8227374838197693e-09
HCC70,BSJ-01-175,0.001,$k_{S}$,0.04963108273743049,3.3055365581642754e-09
HCC70,BSJ-01-175,0.001,$k_{G2}$,0.029794258757585367,3.3055365581642754e-09
HCC70,BSJ-01-175,0.001,$k_{M}$$k_{G1}$,0.11439818647973578,3.3055365581642754e-09
HCC70,BSJ-01-175,0.001,$k_{\phi}$,0.6987174387741734,3.3055365581642754e-09
HCC70,BSJ-01-175,0.001,$k_{S}$,0.04187016279534236,1.6145843018847465e-09
HCC70,BSJ-01-175,0.001,$k_{G2}$,0.02785542709182396,1.6145843018847465e-09
HCC70,BSJ-01-175,0.001,$k_{M}$$k_{G1}$,0.10597942968342042,1.6145843018847465e-09
HCC70,BSJ-01-175,0.001,$k_{\phi}$,0.6706085741797064,1.6145843018847465e-09
HCC70,BSJ-01-175,0.031623,$k_{S}$,1e-07,26586.002840042234
HCC70,BSJ-01-175,0.031623,$k_{G2}$,0.010603216026608832,26586.002840042234
HCC70,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.005922091741114949,26586.002840042234
HCC70,BSJ-01-175,0.031623,$k_{\phi}$,1e-07,26586.002840042234
HCC70,BSJ-01-175,0.031623,$k_{S}$,0.002159519310137308,86853.78400579767
HCC70,BSJ-01-175,0.031623,$k_{G2}$,0.009732307813955421,86853.78400579767
HCC70,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.008905419992540952,86853.78400579767
HCC70,BSJ-01-175,0.031623,$k_{\phi}$,1e-07,86853.78400579767
HCC70,BSJ-01-175,0.031623,$k_{S}$,0.027871851013852124,1.97688088578451e-09
HCC70,BSJ-01-175,0.031623,$k_{G2}$,0.020856373327173067,1.97688088578451e-09
HCC70,BSJ-01-175,0.031623,$k_{M}$$k_{G1}$,0.058536116856282544,1.97688088578451e-09
HCC70,BSJ-01-175,0.031623,$k_{\phi}$,0.24561576505926702,1.97688088578451e-09
HCC70,BSJ-01-175,3.162278,$k_{S}$,0.0038230568061195487,351120.3653931491
HCC70,BSJ-01-175,3.162278,$k_{G2}$,0.017450981360996605,351120.3653931491
HCC70,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.013641633566223124,351120.3653931491
HCC70,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,351120.3653931491
HCC70,BSJ-01-175,3.162278,$k_{S}$,0.0019210180491498882,373732.9600428825
HCC70,BSJ-01-175,3.162278,$k_{G2}$,0.015400297405985267,373732.9600428825
HCC70,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.012612349615571347,373732.9600428825
HCC70,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,373732.9600428825
HCC70,BSJ-01-175,3.162278,$k_{S}$,0.0037937068471100848,367200.1789714954
HCC70,BSJ-01-175,3.162278,$k_{G2}$,0.016896537421288948,367200.1789714954
HCC70,BSJ-01-175,3.162278,$k_{M}$$k_{G1}$,0.011905929733967579,367200.1789714954
HCC70,BSJ-01-175,3.162278,$k_{\phi}$,1e-07,367200.1789714954
HCC70,BSJ-01-175,10.0,$k_{S}$,0.002625467056119495,473698.7322106021
HCC70,BSJ-01-175,10.0,$k_{G2}$,0.015008963723379365,473698.7322106021
HCC70,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.011758727951595637,473698.7322106021
HCC70,BSJ-01-175,10.0,$k_{\phi}$,1e-07,473698.7322106021
HCC70,BSJ-01-175,10.0,$k_{S}$,0.005534082028418109,712902.3627130227
HCC70,BSJ-01-175,10.0,$k_{G2}$,0.015178808157189779,712902.3627130227
HCC70,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.01566889121197298,712902.3627130227
HCC70,BSJ-01-175,10.0,$k_{\phi}$,1e-07,712902.3627130227
HCC70,BSJ-01-175,10.0,$k_{S}$,0.0034576983023965144,615998.820578225
HCC70,BSJ-01-175,10.0,$k_{G2}$,0.014754064249567711,615998.820578225
HCC70,BSJ-01-175,10.0,$k_{M}$$k_{G1}$,0.012060341634827594,615998.820578225
HCC70,BSJ-01-175,10.0,$k_{\phi}$,1e-07,615998.820578225
HCC70,BSJ-01-175,0.01,$k_{S}$,0.04488075749455058,1.335507541178784e-09
HCC70,BSJ-01-175,0.01,$k_{G2}$,0.026530827095900978,1.335507541178784e-09
HCC70,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.1054095170475051,1.335507541178784e-09
HCC70,BSJ-01-175,0.01,$k_{\phi}$,0.68091511005852,1.335507541178784e-09
HCC70,BSJ-01-175,0.01,$k_{S}$,0.04769847444322466,3.667611197202102e-09
HCC70,BSJ-01-175,0.01,$k_{G2}$,0.02652559374973822,3.667611197202102e-09
HCC70,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.10167412808848345,3.667611197202102e-09
HCC70,BSJ-01-175,0.01,$k_{\phi}$,0.8483027730374941,3.667611197202102e-09
HCC70,BSJ-01-175,0.01,$k_{S}$,0.0407864057809582,2.9588713820473834e-09
HCC70,BSJ-01-175,0.01,$k_{G2}$,0.02678950752437784,2.9588713820473834e-09
HCC70,BSJ-01-175,0.01,$k_{M}$$k_{G1}$,0.09449285216091234,2.9588713820473834e-09
HCC70,BSJ-01-175,0.01,$k_{\phi}$,0.42848403796346024,2.9588713820473834e-09
HCC1806,BSJ-01-175,0.316228,$k_{S}$,0.09500954573412243,1.0199529729286782e-09
HCC1806,BSJ-01-175,0.316228,$k_{G2}$,0.03930291325122279,1.0199529729286782e-09
HCC1806,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.09079741780430328,1.0199529729286782e-09
HCC1806,BSJ-01-175,0.316228,$k_{\phi}$,0.320625799883561,1.0199529729286782e-09
HCC1806,BSJ-01-175,0.316228,$k_{S}$,0.05642016797035871,2.5597610814910844e-10
HCC1806,BSJ-01-175,0.316228,$k_{G2}$,0.031715422785142715,2.5597610814910844e-10
HCC1806,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.05101986986774714,2.5597610814910844e-10
HCC1806,BSJ-01-175,0.316228,$k_{\phi}$,0.21877785160219212,2.5597610814910844e-10
HCC1806,BSJ-01-175,0.316228,$k_{S}$,1e-07,51475.43618822121
HCC1806,BSJ-01-175,0.316228,$k_{G2}$,0.014237497487145942,51475.43618822121
HCC1806,BSJ-01-175,0.316228,$k_{M}$$k_{G1}$,0.008676923228519614,51475.43618822121
HCC1806,BSJ-01-175,0.316228,$k_{\phi}$,0.007015950543747616,51475.43618822121
HCC1806,BSJ-01-175,1.0,$k_{S}$,1e-07,9576.986826717837
HCC1806,BSJ-01-175,1.0,$k_{G2}$,0.015218627320498461,9576.986826717837
HCC1806,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.012898512040245195,9576.986826717837
HCC1806,BSJ-01-175,1.0,$k_{\phi}$,0.00575563771607511,9576.986826717837
HCC1806,BSJ-01-175,1.0,$k_{S}$,1e-07,177275.65749415813
HCC1806,BSJ-01-175,1.0,$k_{G2}$,0.01276064318296048,177275.65749415813
HCC1806,BSJ-01-175,1.0,$k_{M}$$k_{G1}$,0.015107384868507307,177275.65749415813
HCC1806,BSJ-01-175,1.0,$k_{\phi}$,0.0051181511910077535,177275.65749415813
HCC1806,BSJ-01-175,1.0,$k_{S}$,1e-07,234059.97984740994
